,Contract,Title,Type of contract,Short description,Total value,Place of performance,Contractor,Notice dispatch date,Short description tokenized
144,278319-2016,Provision of travel desk services (transportation and accommodation bookings) for Frontex.,SERVICES,Provision of travel desk services (transportation and accommodation bookings) for Frontex.,8500000.0,PL,['eTravel SA'],2016-08-01,provision travel desk service transportation accommodation booking frontex
145,281152-2018,Framework contract for the supply of carbon dioxide detectors,SUPPLIES,The subject of this tender was to establish the Framework contract for the supply of handheld carbon dioxide detectors. The Carbon dioxide (CO,250000.0,PL911,['Opticoelectron Group JSCo'],2018-06-25,subject tender establish framework contract supply handheld carbon dioxide detector carbon dioxide co
146,281156-2018,Provision of painting services for Frontex,SERVICES,Provision of painting services for Frontex,200000.0,PL,['ZRB Walko Waldemar Koński'],2018-06-25,provision painting service frontex
147,299325-2015,Media/digital assets management system.,SERVICES,"The M/DAM system is expected to be the central repository of all Frontex media assets, with rich metadata possibilities which will allow to make advanced search and annotate files depending on their status (e.g. uploaded but not published yet, work-in-progress file). The M/DAM system would allow the assignment of different access rights to different assets, as well as to activate/deactivate certain functionalities for selected user(s).",645960.0,PL127,['Zeticon NV'],2015-08-14,m / dam system expect central repository frontex medium asset rich metadata possibility allow advanced search annotate file depend status e.g. upload publish work progress file m / dam system allow assignment different access right different asset activate / deactivate certain functionality select user(s
148,300514-2020,Security Services in EURTF Catania,SERVICES,A licensed company to provide 24/7 security services for the premises of the EU Regional Task Force (EURTF) in Catania (Italy).,,ITG17,,2020-06-22,license company provide 24/7 security service premise eu regional task force eurtf catania italy
149,301758-2016,RPAS maritime aerial surveillance services trial,SERVICES,"Frontex seeks to acquire maritime aerial border surveillance services to be performed in specific maritime areas of the Mediterranean Sea during Q3 of 2016. The services offered shall include the provision of a RPAS platform, payload, communication equipment, and all the necessary experts managing the system and providing operational support.",,GR,,2016-08-22,frontex seek acquire maritime aerial border surveillance service perform specific maritime area mediterranean sea q3 2016 service offer shall include provision rpas platform payload communication equipment necessary expert manage system providing operational support
150,304209-2014,Framework contract for provision of reception services for Frontex headquarters.,SERVICES,"Frontex concluded a single framework contract with a professional and experienced reception services provider in order to ensure the high quality of administrative services in the Agency's representative areas at Frontex premises. 4 permanent bilingual (Polish/English) receptionists shall provide reception services during working days of the Agency (Monday to Friday, except Frontex holidays) between 8:00 to 17:00 (regular office hours) at the Agency premises.",480000.0,PL127,['Securitas Polska Sp. z o.o.'],2014-08-28,frontex conclude single framework contract professional experienced reception service provider order ensure high quality administrative service agency representative area frontex premise 4 permanent bilingual polish / english receptionist shall provide reception service working day agency monday friday frontex holiday 8:00 17:00 regular office hour agency premise
151,304351-2019,Provision of Travel Desk Services for Frontex,SERVICES,Provision of travel desk services for Frontex.,20000000.0,PL,['eTravel SA'],2019-06-25,provision travel desk service frontex
152,305763-2014,External evaluation of the Agency under Article 33 of the Frontex Regulation.,SERVICES,This external evaluation shall enable the management board to assess the implementation of the Frontex Regulation.,,,['Rambøll Management Consulting A/S'],2014-08-29,external evaluation shall enable management board assess implementation frontex regulation
153,305792-2015,Framework contract for organisation of conferences and meetings outside of Poland.,SERVICES,"Provision of conference services — organisation, contracting and payment for services related to conferences and meetings organised by Frontex outside of Poland.",,,['Mindwork Business Solutions Ltd'],2015-08-20,provision conference service organisation contracting payment service relate conference meeting organise frontex outside poland
154,307439-2015,Maintenance services for HP and Cisco equipment.,SERVICES,Purchase of HP and Cisco equipment maintenance services by Frontex.,,,['Asseco Poland S.A.'],2015-08-21,purchase hp cisco equipment maintenance service frontex
155,309385-2020,Framework Contract for the Provision of Fresh Fruit and Vegetables to Frontex Premises,SERVICES,"The subject of the contract is the provision of mix of good quality fresh fruit and vegetables (bananas, apples, carrot batons, seasonal fruits). The frequency and quantities of deliveries are included in Technical Specification (Annex II).",,PL911,,2020-06-26,subject contract provision mix good quality fresh fruit vegetable banana apple carrot baton seasonal fruit frequency quantity delivery include technical specification annex ii
156,309706-2014,Canteen operator,SERVICES,"Lot 1 — Canteen operator; framework service contract (FWC) for the provision of canteen operator services to Frontex, including canteen, cafeteria, catering and coffee & kitchenette services. Maximum duration of FWC — 4 years. Lot 2 — Kitchen equipment; delivery and maintenance of kitchen and catering equipment required for Frontex canteen and catering services.",,PL127,"[""Art'Impression Catering Sp. z o.o.""]",2014-09-03,lot 1 canteen operator framework service contract fwc provision canteen operator service frontex including canteen cafeteria catering coffee & kitchenette service maximum duration fwc 4 year lot 2 kitchen equipment delivery maintenance kitchen catering equipment require frontex canteen catering service
157,309706-2014,Kitchen equipment,SERVICES,"Lot 1 — Canteen operator; framework service contract (FWC) for the provision of canteen operator services to Frontex, including canteen, cafeteria, catering and coffee & kitchenette services. Maximum duration of FWC — 4 years. Lot 2 — Kitchen equipment; delivery and maintenance of kitchen and catering equipment required for Frontex canteen and catering services.",137348.0,PL127,['Wencel Sp. z o.o.'],2014-09-03,lot 1 canteen operator framework service contract fwc provision canteen operator service frontex including canteen cafeteria catering coffee & kitchenette service maximum duration fwc 4 year lot 2 kitchen equipment delivery maintenance kitchen catering equipment require frontex canteen catering service
158,312020-2016,Purchase of the digital surface model along external EU borders,SERVICES,Purchase of a set of a digital surface model (DSM) spatial data which can be used for analyses and visualisations.,,PL127,,2016-08-30,purchase set digital surface model dsm spatial datum use analysis visualisation
159,318160-2020,Polish Law (Law Firms),SERVICES,"Frontex requires advice on matters where Polish law is the governing law of a contract, for instance, in debt actions.",100000.0,PL911,"['Kancelaria Radców Prawnych Cwik i Partnerzy SP.P.', 'Bird and Bird Szepietowski i Wspólnicy SP.K.', 'Squire Patton Boggs Święcicki i Krześniak SP.K.']",2020-06-26,frontex require advice matter polish law governing law contract instance debt action
160,318160-2020,EU Law on Public Procurement (Law Firms),SERVICES,"Frontex requires advice on matters where Polish law is the governing law of a contract, for instance, in debt actions.",100000.0,PL911,"['Bird & Bird Szepietowski i Wspólnicy SP.K.', 'BHO Baumann, Heinrich, Ortner Rechtsanwalte und Patentanwalt Partnerschaft MBB', 'Miller Canfield W.Babicki, A.Chelchowski i Wspólnicy SP.K.']",2020-06-26,frontex require advice matter polish law governing law contract instance debt action
161,318160-2020,"Advice to Comply with Polish Building Rules, Regulations and Procedures (Law Firms or Consultancy Services)",SERVICES,"Frontex requires advice on matters where Polish law is the governing law of a contract, for instance, in debt actions.",200000.0,PL911,"['Bird and Bird Szepietowski i Wspólnicy SP.K.', 'Squire Patton Boggs Święcicki i Krześniak SP.K.', 'Hogan Lovells (Warszawa) LLP (Spółka partnerska) Oddział w Polsce']",2020-06-26,frontex require advice matter polish law governing law contract instance debt action
162,318160-2020,HR Advice (Law Firms or Consultancy Services),SERVICES,"Frontex requires advice on matters where Polish law is the governing law of a contract, for instance, in debt actions.",100000.0,PL911,"['Daldewolf', 'Ashurst LLP', 'EU Legis Avocats']",2020-06-26,frontex require advice matter polish law governing law contract instance debt action
163,320222-2016,MyFrontex digital workplace (COTS-based intranet),SERVICES,Frontex seeks an integrated solution that can take the role of a digital workplace addressing all common tasks of Frontex staff regardless if they work in the HQ or remotely.,1276694.0,PL127,['Netcompany IT and Business Consulting A/S'],2016-09-06,frontex seek integrate solution role digital workplace addressing common task frontex staff regardless work hq remotely
164,321184-2017,Provision of services related to SAS software,SERVICES,"This contract is considered as a primary source of services related to the SAS software and solutions being in use in Frontex. These services are: configuration, development, implementation and maintenance as well as provision of guidance and transfer of knowledge.",1900000.0,PL911,['SAS Institute Polska Sp. z o.o.'],2017-08-04,contract consider primary source service relate sas software solution use frontex service configuration development implementation maintenance provision guidance transfer knowledge
165,331224-2015,Maritime area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['CAE Aviation s.a.r.l.'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
166,331224-2015,Maritime area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['Diamond-Executive Aviation Ltd'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
167,331224-2015,Maritime area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['Défense Conseil International'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
168,331224-2015,Maritime area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['EASP Air BV'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
169,331224-2015,Maritime area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['Vigilance BV'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
170,331224-2015,Maritime area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['Indra Sistemas SA'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
171,331224-2015,Land area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['CAE Aviation s.a.r.l.'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
172,331224-2015,Land area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['SIA ‘Meža īpašnieku konsultatīvais centrs’'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
173,331224-2015,Land area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['Diamond-Executive Aviation Ltd'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
174,331224-2015,Land area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['Vigilance BV'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
175,331224-2015,Land area aerial surveillance,SERVICES,"The objective of this tender is to develop Frontex's technical equipment pool with a category of aerial surveillance equipment having a high level of deployability and availability, enabling Frontex to enhance its surveillance operational capability in areas of the EU external border. In lot 1, the contractor shall provide Frontex with maritime surveillance flights over a pre-defined area of the EU external maritime border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex. In lot 2, the contractor shall provide Frontex with land surveillance flights over a pre-defined area of the EU external land border, within a specific time-frame, reporting defined objects and events of interest to a coordination centre designated by Frontex.",,,['Indra Sistemas SA'],2015-09-10,objective tender develop frontex technical equipment pool category aerial surveillance equipment having high level deployability availability enable frontex enhance surveillance operational capability area eu external border lot 1 contractor shall provide frontex maritime surveillance flight pre - define area eu external maritime border specific time frame report define object event interest coordination centre designate frontex lot 2 contractor shall provide frontex land surveillance flight pre - define area eu external land border specific time frame report define object event interest coordination centre designate frontex
176,334437-2014,Purchase of multifunctional devices and related services.,SERVICES,"Acquisition of multifunctional devices, capable of copying, printing, scanning, etc., and of the associated maintenance and services.",325120.0,PL127,['New Technology Poland S.A.'],2014-09-23,acquisition multifunctional device capable copying printing scanning etc associate maintenance service
177,338734-2019,Land Aerial Surveillance,SERVICES,"Award of the contract without prior publication of a call for competition in the Official Journal of the European Union. Services or works consisting in the repetition of similar services or works provided these are in conformity with a basic project as per Point 11.1 (e) Annex 1 FR (can be used only within 3 years of the contract and only if the possibility to use this negotiated procedure was announced from the outset of the initial procedure) — this legal basis is used to increase the ceiling of this framework contract, Lot 1.",2250000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'Airborne Technologies GmbH', 'Fly4Less Kft']",2019-07-09,award contract prior publication competition official journal european union service work consist repetition similar service work provide conformity basic project point 11.1 e annex 1 fr use 3 year contract possibility use negotiate procedure announce outset initial procedure legal basis use increase ceiling framework contract lot 1
178,338734-2019,Mid-Range Maritime Aerial Surveillance with Providing of Information via Remote Mission Portal and Sharing of Compiled Operational Picture,SERVICES,"Award of the contract without prior publication of a call for competition in the Official Journal of the European Union. Services or works consisting in the repetition of similar services or works provided these are in conformity with a basic project as per Point 11.1 (e) Annex 1 FR (can be used only within 3 years of the contract and only if the possibility to use this negotiated procedure was announced from the outset of the initial procedure) — this legal basis is used to increase the ceiling of this framework contract, Lot 3.",6050000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'EASP Air BV']",2019-07-09,award contract prior publication competition official journal european union service work consist repetition similar service work provide conformity basic project point 11.1 e annex 1 fr use 3 year contract possibility use negotiate procedure announce outset initial procedure legal basis use increase ceiling framework contract lot 3
179,338734-2019,Long-Range Maritime Aerial Surveillance with Providing of Information via Remote Mission Portal and Sharing of Compiled Operational Picture,SERVICES,"Award of the contract without prior publication of a call for competition in the Official Journal of the European Union. Services or works consisting in the repetition of similar services or works provided these are in conformity with a basic project as per Point 11.1 (e) Annex 1 FR (can be used only within 3 years of the contract and only if the possibility to use this negotiated procedure was announced from the outset of the initial procedure) — this legal basis is used to increase the ceiling of this framework contract, Lot 4.",7200000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'EASP Air BV']",2019-07-09,award contract prior publication competition official journal european union service work consist repetition similar service work provide conformity basic project point 11.1 e annex 1 fr use 3 year contract possibility use negotiate procedure announce outset initial procedure legal basis use increase ceiling framework contract lot 4
180,338734-2019,Mid-Range Maritime Aerial Surveillance with Live Streaming of Raw Data,SERVICES,"Award of the contract without prior publication of a call for competition in the Official Journal of the European Union. Services or works consisting in the repetition of similar services or works provided these are in conformity with a basic project as per Point 11.1 (e) Annex 1 FR (can be used only within 3 years of the contract and only if the possibility to use this negotiated procedure was announced from the outset of the initial procedure) — this legal basis is used to increase the ceiling of this framework contract, Lot 5.",13500000.0,00,"['CAE Aviation', 'DEA Aviation Ltd', 'EASP Air BV']",2019-07-09,award contract prior publication competition official journal european union service work consist repetition similar service work provide conformity basic project point 11.1 e annex 1 fr use 3 year contract possibility use negotiate procedure announce outset initial procedure legal basis use increase ceiling framework contract lot 5
181,342906-2016,Multiple framework contract with reopening of competition for the provision of SharePoint-related services,SERVICES,"This contract (framework contract with reopening of competition concluded with 3 economic operators) shall be considered as a source for generic services related to SP platform under T&M, QT&M or fixed price assignments. Contrary to other specific solution and product-oriented contracts (e.g. intranet COTS, DMS), this contract will address Frontex needs regarding custom-developed software solutions and maintenance of the existing platform. It shall be understood in broad meaning with reference to all phases of software life cycle and technical domains of software engineering. Therefore it may cover typical software development as well as maintenance of existing platform and solutions, refactoring, tuning, etc. Technologically this contract is focused on SP, possible future versions of this platform as well as on solutions built on it and interfaces linking it to other software solutions used by Frontex.",2650000.0,PL127,['BoldBrick s.r.o.'],2016-09-22,contract framework contract reopening competition conclude 3 economic operator shall consider source generic service relate sp platform t&m qt&m fix price assignment contrary specific solution product orient contract e.g. intranet cots dms contract address frontex need regard custom develop software solution maintenance existing platform shall understand broad meaning reference phase software life cycle technical domain software engineering cover typical software development maintenance existing platform solution refactoring tuning etc technologically contract focus sp possible future version platform solution build interface linking software solution use frontex
182,342906-2016,Multiple framework contract with reopening of competition for the provision of SharePoint-related services,SERVICES,"This contract (framework contract with reopening of competition concluded with 3 economic operators) shall be considered as a source for generic services related to SP platform under T&M, QT&M or fixed price assignments. Contrary to other specific solution and product-oriented contracts (e.g. intranet COTS, DMS), this contract will address Frontex needs regarding custom-developed software solutions and maintenance of the existing platform. It shall be understood in broad meaning with reference to all phases of software life cycle and technical domains of software engineering. Therefore it may cover typical software development as well as maintenance of existing platform and solutions, refactoring, tuning, etc. Technologically this contract is focused on SP, possible future versions of this platform as well as on solutions built on it and interfaces linking it to other software solutions used by Frontex.",2650000.0,PL127,['Fabrity K2 Sp. z o.o.'],2016-09-22,contract framework contract reopening competition conclude 3 economic operator shall consider source generic service relate sp platform t&m qt&m fix price assignment contrary specific solution product orient contract e.g. intranet cots dms contract address frontex need regard custom develop software solution maintenance existing platform shall understand broad meaning reference phase software life cycle technical domain software engineering cover typical software development maintenance existing platform solution refactoring tuning etc technologically contract focus sp possible future version platform solution build interface linking software solution use frontex
183,342906-2016,Multiple framework contract with reopening of competition for the provision of SharePoint-related services,SERVICES,"This contract (framework contract with reopening of competition concluded with 3 economic operators) shall be considered as a source for generic services related to SP platform under T&M, QT&M or fixed price assignments. Contrary to other specific solution and product-oriented contracts (e.g. intranet COTS, DMS), this contract will address Frontex needs regarding custom-developed software solutions and maintenance of the existing platform. It shall be understood in broad meaning with reference to all phases of software life cycle and technical domains of software engineering. Therefore it may cover typical software development as well as maintenance of existing platform and solutions, refactoring, tuning, etc. Technologically this contract is focused on SP, possible future versions of this platform as well as on solutions built on it and interfaces linking it to other software solutions used by Frontex.",2650000.0,PL127,['IT-Dev Sp. z o.o.'],2016-09-22,contract framework contract reopening competition conclude 3 economic operator shall consider source generic service relate sp platform t&m qt&m fix price assignment contrary specific solution product orient contract e.g. intranet cots dms contract address frontex need regard custom develop software solution maintenance existing platform shall understand broad meaning reference phase software life cycle technical domain software engineering cover typical software development maintenance existing platform solution refactoring tuning etc technologically contract focus sp possible future version platform solution build interface linking software solution use frontex
184,343568-2019,Lot 1: Albania – Mobile Office Container,SERVICES,Provision of mobile office containers and associated services in Albania.,200000.0,00,['ITBM LLC'],2019-07-11,provision mobile office container associate service albania
185,343568-2019,Lot 2: Albania – Toilet container,SERVICES,Provision of toilet containers and associated services in Albania.,50000.0,00,['ITBM LLC'],2019-07-11,provision toilet container associate service albania
186,343568-2019,Lot 3: Serbia – Mobile Office Container,SERVICES,Provision of mobile office containers and associated services in Serbia.,80000.0,00,['ITBM LLC'],2019-07-11,provision mobile office container associate service serbia
187,343568-2019,Lot 4: Serbia – Toilet container,SERVICES,Provision of toilet containers and associated services in Serbia.,20000.0,00,['ITBM LLC'],2019-07-11,provision toilet container associate service serbia
188,343568-2019,Lot 5: Bosnia and Herzegovina – Mobile Office Container,SERVICES,Provision of mobile office containers and associated services in Bosnia and Herzegovina.,80000.0,00,['ITBM LLC'],2019-07-11,provision mobile office container associate service bosnia herzegovina
189,343568-2019,Lot 6: Bosnia and Herzegovina – Toilet container,SERVICES,Provision of toilet containers and associated services in Bosnia and Herzegovina.,20000.0,00,['ITBM LLC'],2019-07-11,provision toilet container associate service bosnia herzegovina
190,343568-2019,Lot 7: Republic of North Macedonia – Mobile Office Container,SERVICES,Provision of mobile office containers and associated services in Republic of North Macedonia.,40000.0,00,['ITBM LLC'],2019-07-11,provision mobile office container associate service republic north macedonia
191,343568-2019,Lot 8: Republic of North Macedonia – Toilet container,SERVICES,Provision of toilet containers and associated services in Republic of North Macedonia.,10000.0,00,['ITBM LLC'],2019-07-11,provision toilet container associate service republic north macedonia
192,350772-2019,Purchase of the Transportation Network Spatial Vector Data along the EU External Borders,SERVICES,Purchase a set transportation network spatial vector data along the external EU borders which can be used for analyse and visualisation.,229719.63,PL911,['ESRI Polska'],2019-07-19,purchase set transportation network spatial vector datum external eu border use analyse visualisation
193,351634-2017,Amendment No 2 to the contract ‘MyFrontex digital workplace (COTS-based intranet)’,SERVICES,Amendment No 2 to the contract ‘MyFrontex digital workplace (COTS-based intranet)’ Frontex/37/2016/JL by adding 1 new global contacts module and related services to the scope of the contractual services.,439593.32,PL911,['Netcompany IT and Business Consulting A/S'],2017-08-29,amendment 2 contract myfrontex digital workplace cots base intranet frontex/37/2016 / jl add 1 new global contact module related service scope contractual service
194,360963-2018,Land Area Aerial Surveillance,SERVICES,"The contractor shall provide the Contracting Authority with land surveillance flights in a pre-defined Service deployment area, within a specific timeframe. The purpose of the surveillance is to report objects and events of interest to a Coordination Centre designated by the Contracting Authority. The Service Deployment Area, timeframe, and objects/events of interest will be identified in advance in the Specific contract. These services can be provided by either fixed or rotary wing platforms.",,00,,2018-08-06,contractor shall provide contracting authority land surveillance flight pre - define service deployment area specific timeframe purpose surveillance report object event interest coordination centre designate contracting authority service deployment area timeframe object / event interest identify advance specific contract service provide fixed rotary wing platform
195,360963-2018,Coastline Maritime Area Aerial Surveillance,SERVICES,"The contractor shall provide the Contracting Authority with land surveillance flights in a pre-defined Service deployment area, within a specific timeframe. The purpose of the surveillance is to report objects and events of interest to a Coordination Centre designated by the Contracting Authority. The Service deployment area, timeframe, and objects/events of interest will be identified in advance in the Specific contract. These services can be provided by either fixed or rotary wing platforms.",,00,,2018-08-06,contractor shall provide contracting authority land surveillance flight pre - define service deployment area specific timeframe purpose surveillance report object event interest coordination centre designate contracting authority service deployment area timeframe object / event interest identify advance specific contract service provide fixed rotary wing platform
196,360963-2018,Mid-range Maritime Area Aerial Surveillance — Data sharing via Remote Mission Portal.,SERVICES,"The Contractor shall provide the Contracting Authority with land surveillance flights in a pre-defined Service deployment area, within a specific timeframe. The purpose of the surveillance is to report objects and events of interest to a Coordination Centre designated by the Contracting Authority. The Service deployment area, timeframe, and objects/events of interest will be identified in advance in the Specific contract. These services can be provided by either fixed or rotary wing platforms.",,00,,2018-08-06,contractor shall provide contracting authority land surveillance flight pre - define service deployment area specific timeframe purpose surveillance report object event interest coordination centre designate contracting authority service deployment area timeframe object / event interest identify advance specific contract service provide fixed rotary wing platform
